word,chi2,p_value
이후,29.083720839566798,2.150524146329482e-06
왕따,28.58970166552109,2.731074820425487e-06
집도,28.33022786396052,3.096165457059851e-06
잡고,28.17785185430047,3.3328542007098655e-06
차려,27.655042690494074,4.29081900687914e-06
파리채,27.585019515655205,4.438447756861133e-06
버스,26.933028642363876,6.080786616111651e-06
종아리,26.68847623686266,6.84252449718076e-06
짜증,25.541267969546027,1.189726524073968e-05
경찰,25.46453448953706,1.234531848203611e-05
이유,24.99238886600927,1.5497179873454887e-05
마구,24.646096126232585,1.8307886187243978e-05
화낼,24.56208916335527,1.9063060954119177e-05
용돈,24.439608639981046,2.0220073680229655e-05
새엄마,23.805487537770905,2.7428043284318166e-05
지지,23.72208764589297,2.8549599989327092e-05
생리,23.72208764589297,2.8549599989327092e-05
차단,23.72208764589297,2.8549599989327092e-05
별로,23.452077474301372,3.250379987980377e-05
차별,23.40797852717884,3.319957161988785e-05
지난주,23.330127775579655,3.4464287697197256e-05
보라,23.26253433861902,3.560124250727272e-05
지기,23.041281209049313,3.959077382985829e-05
기사,23.041281209049313,3.959077382985829e-05
식은땀,22.971364737827457,4.094183111759808e-05
막말,22.73290021170824,4.590494131626709e-05
그때,22.72063536148622,4.617582749744544e-05
나무,22.682404775561633,4.703046521850768e-05
대고,22.680668676577692,4.706964731577163e-05
세탁기,22.6249666125734,4.834420174537367e-05
문자,22.623900988230652,4.836891726155704e-05
아래,22.6037687115032,4.883822734788288e-05
회초리,22.40479869847217,5.372756453931887e-05
부위,22.095827332763797,6.23037542909375e-05
숙제,21.82846102424702,7.081765007574775e-05
신고,21.758968801527946,7.32142008451394e-05
효자손,21.531154090192445,8.165179128732914e-05
방망이,21.485622029197295,8.345088037126238e-05
설사,21.122986968182747,9.926264021233958e-05
쓰레기,20.886044823764742,0.00011117136446747073
카페,20.72724292512098,0.00011993863306082513
혼자,20.34159722105886,0.00014420208720504796
골프채,20.11466592025802,0.00016070302926686597
번은,20.070859058252992,0.00016409843669205914
동영상,19.96322250120637,0.00017274755159392546
운전기사,19.768406371577484,0.00018957178694392702
선수,19.671265991577183,0.0001985603805423675
상한,19.637843603739107,0.0002017500914643691
차고,19.274291864461084,0.00023991877151778964
자꾸,19.214293775884947,0.0002468749051641041
거지,19.208734337736928,0.0002475295332256837
잠시,19.055718627893828,0.0002662412314739182
당황,19.055718627893828,0.0002662412314739182
지각,18.965139891653777,0.00027797407097685943
내면,18.872919280146892,0.00029044809897382524
남자친구,18.573239940187072,0.0003349575350500168
세제,18.420788190406512,0.00036014075071839137
입학식,18.158393674615883,0.0004079717057732683
동생,18.062511107103752,0.0004269832095886701
차서,17.94554543051468,0.0004513715981308035
야구,17.941592701339264,0.00045221953806200344
화가,17.933657755105845,0.00045392652796353173
발라,17.836635723137032,0.00047532358804295275
언제,17.693292695027313,0.0005087845202671125
남자,17.5056455648157,0.0005561504733082599
침대,17.45704356621708,0.0005691173475517418
쇼핑,17.136823252199846,0.0006623935273016625
모텔,17.09149934988733,0.0006767692748927701
외로워,16.999994304103925,0.0007067442986494123
