word,chi2,p_value
끔찍하다,21.693409787605052,7.554910903666279e-05
안_듣다,21.276972349821676,9.221348462831481e-05
카페,21.22428284594889,9.456753771966104e-05
자꾸,20.896795778836285,0.00011060142689322457
별로,20.80587835978017,0.00011551443550299295
설사,20.794647021010952,0.00011613624430141376
신고,20.788451544246833,0.00011648067418037136
뛰다,20.42765230583016,0.00013839573906785374
쓰레기,20.424359100800334,0.00013861359521678788
골프채,20.37691421375125,0.00014179038545921835
밤늦다,20.34278187048288,0.00014412053261054507
가두다,20.23126764148693,0.00015200239142500627
지지,20.132741698943335,0.00015932246824681027
운전기사,20.132741698943335,0.00015932246824681027
