word,chi2,p_value
집어넣다,42.72802825685825,2.8109444195277382e-09
신경,42.716789551429756,2.826429074908385e-09
부분,42.58732543314237,3.011068779505097e-09
성적,42.53638388463118,3.086981464586379e-09
화난,42.48024138737644,3.1728609629965353e-09
관계,41.98319417335741,4.045208745817101e-09
무조건,41.48828021179127,5.151698679227961e-09
아무,41.10802306573042,6.203164031918754e-09
던지다,40.96271905055347,6.6593480386394464e-09
바르다,40.237418595820834,9.489158009769076e-09
지르다,40.197805439620346,9.674434752294778e-09
고추,40.155917528798874,9.874282696956007e-09
종일,39.98067766901422,1.075605211123755e-08
수치,39.15637372203085,1.6081900596803102e-08
웃다,38.866720744448756,1.852248923951524e-08
변태,38.77900605810772,1.933210970681388e-08
화나다,38.51735778376245,2.196322472913548e-08
고프다,37.88060056703757,2.9958666225943984e-08
떠오르다,37.12577818599159,4.3278852902532226e-08
온몸,37.0726777166528,4.441310065990457e-08
들다,36.1881717629885,6.832831879778346e-08
챙기다,35.74147498271685,8.492614234948418e-08
빨갛다,35.58475507765115,9.165748376734443e-08
보내다,35.19907871121715,1.1057927263492558e-07
달라,34.82726973553805,1.325033081034129e-07
나가요,34.479345858301315,1.569326578681307e-07
비교,34.198806584523275,1.7986758317484012e-07
노래방,33.68768753813314,2.305943256455013e-07
이번,33.4449107895884,2.594672067493076e-07
소름,33.42504950027329,2.6198318003101974e-07
음식,33.29196156280688,2.7948244734350637e-07
손바닥,32.99838491100881,3.2232001116870904e-07
깁스,32.76910907739976,3.602835917764176e-07
비슷하다,32.62799718692992,3.8583541141451224e-07
부러지다,32.58476583458382,3.940197264043857e-07
소리,32.474365216317054,4.157150930887927e-07
풀이,32.18288289840925,4.788987161811547e-07
뭐라다,32.14350923903741,4.881383067878845e-07
지게,32.12473402303912,4.926066226527874e-07
넣기,32.12473402303912,4.926066226527874e-07
인스타,32.12473402303912,4.926066226527874e-07
메시지,32.12473402303912,4.926066226527874e-07
성폭행,32.12473402303912,4.926066226527874e-07
쫓아내다,32.04662234795515,5.116389102308923e-07
끌어안다,31.601796374745113,6.348862160051797e-07
얼굴,31.28355208468903,7.408528043407373e-07
나이,31.225256849402758,7.620952940183054e-07
영상통화,31.183790241918828,7.775744910581317e-07
저녁,31.08600192054967,8.153320945645621e-07
치료받다,31.07474532961344,8.19794234857955e-07
막대기,30.98317950077167,8.570084608237076e-07
할아버지,30.955313571288826,8.686648962443029e-07
비싸다,30.817349362174625,9.287488417695514e-07
축구,30.462525567004267,1.1030179861257396e-06
